rating,text,date,title
5,"Amazing restaurant with incredible food! The service was impeccable and the atmosphere was perfect for our anniversary dinner. Every dish was prepared with such care and attention to detail. Will definitely return!",2026-03-10,"Perfect Anniversary Dinner"
4,"Great place for a business lunch. Food was excellent and the service was quick and professional. The menu has good variety and the prices are reasonable for the quality. Only minor issue was the noise level in the main dining area.",2026-03-09,"Excellent Business Lunch Spot"
5,"Outstanding experience from start to finish! The staff remembered our preferences from previous visits, the wine recommendations were spot-on, and the dessert was heavenly. Best restaurant in the city hands down.",2026-03-08,"Outstanding Experience"
3,"Decent food but overpriced. The portions were small for the price point and service was a bit slow during peak hours. The ambiance is nice but I expected more given the hype.",2026-03-07,"Decent But Overpriced"
5,"Unforgettable dining experience! The chef's tasting menu was a culinary journey. Each course was a masterpiece with innovative flavor combinations. The wine pairing was perfect. Worth every penny!",2026-03-06,"Culinary Masterpiece"
4,"Very good Italian restaurant. Authentic flavors and fresh ingredients. The pasta dishes are particularly excellent. Service could be a bit more attentive but overall a solid choice.",2026-03-05,"Authentic Italian Cuisine"
2,"Disappointed with our experience. The food arrived cold and took over an hour despite reservations. The manager was unapologetic and seemed indifferent to our complaints. Won't be returning.",2026-03-04,"Poor Service and Cold Food"
5,"Exceptional! From the moment we walked in, we felt special. The staff was knowledgeable about the menu, the pacing of courses was perfect, and the attention to detail was remarkable. Five stars!",2026-03-03,"Exceptional Service and Food"
4,"Good neighborhood restaurant. Consistent quality, friendly staff, and reasonable prices. Not the most exciting menu but everything is well-executed. Good choice for a reliable dinner out.",2026-03-02,"Reliable Neighborhood Spot"
5,"Phenomenal brunch experience! The eggs Benedict were perfect, the Bloody Mary was excellent, and the service was warm and efficient. Beautiful space and great vibe. Highly recommended!",2026-03-01,"Phenomenal Brunch"
3,"Average dining experience. Food was okay but nothing special. Service was fine but not memorable. It's convenient but there are better options in the area.",2026-02-28,"Average Experience"
4,"Very pleased with our visit. The seafood dishes were fresh and well-prepared. The wine list is extensive and reasonably priced. Would return for special occasions.",2026-02-27,"Fresh Seafood and Good Wine"
5,"Absolutely loved it! The ambiance is romantic, the food is creative and delicious, and the service is top-notch. Every aspect of the experience was perfect. Can't wait to come back!",2026-02-26,"Romantic and Delicious"
2,"Not impressed. The menu sounded great but execution was poor. Food was bland and service was inattentive. For the price, we expected much better. Disappointing overall.",2026-02-25,"Poor Execution and Bland Food"
4,"Solid choice for dinner. Good food, pleasant atmosphere, and fair prices. The chef's specials were particularly good. We'll be back to try more of the menu.",2026-02-24,"Solid Choice for Dinner"
